측정 일시,측정소명,이산화질소,오존농도,이산화탄소,아황산가스,미세먼지,초미세먼지
2018-01-01,강남구,0.033,0.01,0.6,0.006,34.0,22.0
2018-01-01,강남대로,0.04,0.007,0.8,0.006,-1.0,17.0
2018-01-01,강동구,0.038,0.01,0.7,0.005,48.0,24.0
2018-01-01,강변북로,0.033,0.008,0.6,0.005,48.0,15.0
2018-01-01,강북구,0.026,0.018,0.6,0.004,38.0,18.0
2018-01-01,강서구,0.036,0.012,0.7,0.004,-1.0,13.0
2018-01-01,공항대로,0.045,0.007,0.6,0.006,50.0,21.0
2018-01-01,관악구,0.036,0.008,0.5,0.008,38.0,23.0
2018-01-01,광진구,0.037,0.012,0.7,0.005,41.0,21.0
2018-01-01,구로구,0.025,0.008,0.6,0.007,47.0,28.0
2018-01-01,금천구,0.036,0.01,0.6,0.005,39.0,21.0
2018-01-01,노원구,0.034,0.012,0.8,0.007,42.0,21.0
2018-01-01,도봉구,0.029,0.016,0.6,0.006,44.0,22.0
2018-01-01,도산대로,0.037,0.009,0.6,0.006,52.0,20.0
2018-01-01,동대문구,0.031,0.013,0.6,0.006,46.0,20.0
2018-01-01,동작구,0.035,0.012,0.5,0.005,40.0,19.0
2018-01-01,동작대로,0.051,0.005,0.7,0.005,49.0,16.0
2018-01-01,마포구,0.033,0.012,0.6,0.006,39.0,21.0
2018-01-01,서대문구,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2018-01-01,서초구,0.031,0.011,0.6,0.005,49.0,24.0
2018-01-01,성동구,0.032,0.01,0.3,0.006,47.0,23.0
2018-01-01,성북구,0.04,0.01,0.7,0.007,43.0,19.0
2018-01-01,송파구,0.028,0.013,0.7,0.004,52.0,23.0
2018-01-01,신촌로,0.045,0.005,1.0,0.008,56.0,23.0
2018-01-01,양천구,0.037,0.008,0.7,0.005,37.0,21.0
2018-01-01,영등포구,0.03,0.01,0.7,0.007,47.0,24.0
2018-01-01,영등포로,0.049,0.007,0.6,0.006,51.0,17.0
2018-01-01,용산구,0.029,0.012,0.3,0.005,38.0,18.0
2018-01-01,은평구,0.017,0.014,0.6,0.003,41.0,21.0
2018-01-01,정릉로,0.05,0.007,0.8,0.006,56.0,21.0
2018-01-01,종로,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2018-01-01,종로구,0.029,0.016,0.6,0.007,34.0,17.0
2018-01-01,중구,0.028,0.015,0.5,0.005,32.0,18.0
2018-01-01,중랑구,0.036,0.01,0.7,0.007,48.0,22.0
2018-01-01,천호대로,0.045,0.007,0.6,0.006,48.0,19.0
2018-01-01,청계천로,0.034,0.012,0.4,0.006,37.0,16.0
2018-01-01,한강대로,0.039,0.012,0.5,0.005,49.0,16.0
2018-01-01,홍릉로,0.04,0.01,0.6,0.008,43.0,22.0
2018-01-01,화랑로,0.034,0.007,0.7,0.005,43.0,17.0
